,YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES,TURNOUT,PREDICTED WINNER
50,2006,PERAMBUR,". MAHENDRAN, K.",W,CPI(M),M,39,SC,81765,268704,182627,182379,0.6796586578539955,W
50,2006,PERAMBUR,". MAHENDRAN, K.",W,CPI(M),M,39,SC,81765,268704,182627,182379,0.6796586578539955,N
51,2006,PERAMBUR,". MANIMARAN, P.",N,MDMK,M,41,SC,78977,268704,182627,182379,0.6796586578539955,N
52,2006,PERAMBUR,". LINGAM, J.",N,DMDK,M,35,SC,15881,268704,182627,182379,0.6796586578539955,N
53,2006,PERAMBUR,". PERUMAL, V.",N,BSP,M,33,SC,1449,268704,182627,182379,0.6796586578539955,N
54,2006,PERAMBUR,". VISWANATHAN KAKKAN, P.",N,JP,M,68,SC,952,268704,182627,182379,0.6796586578539955,W
55,2006,PERAMBUR,". JEENAPRIYA, I.",N,SP,F,29,SC,677,268704,182627,182379,0.6796586578539955,N
56,2006,PERAMBUR,". RAVICHANDRAN, D.",N,IND,M,37,SC,662,268704,182627,182379,0.6796586578539955,N
57,2006,PERAMBUR,". PURUSHOTHAMAN, S.",N,IND,M,36,SC,584,268704,182627,182379,0.6796586578539955,N
58,2006,PERAMBUR,". MURTHY, G.",N,IND,M,54,SC,474,268704,182627,182379,0.6796586578539955,W
58,2006,PERAMBUR,". MURTHY, G.",N,IND,M,54,SC,474,268704,182627,182379,0.6796586578539955,N
59,2006,PERAMBUR,. DEIVA. SWARUP CHANDRAN,N,IND,M,59,SC,412,268704,182627,182379,0.6796586578539955,N
60,2006,PERAMBUR,". BASKAR, E.",N,IND,M,38,SC,225,268704,182627,182379,0.6796586578539955,N
61,2006,PERAMBUR,". KOTEESWARAN, MUNU.",N,IND,M,33,SC,165,268704,182627,182379,0.6796586578539955,N
61,2006,PERAMBUR,". KOTEESWARAN, MUNU.",N,IND,M,33,SC,165,268704,182627,182379,0.6796586578539955,N
62,2006,PERAMBUR,. SAMYDOSS,N,IND,M,39,SC,156,268704,182627,182379,0.6796586578539955,N
63,2006,PURASAWALKAM,". BABU, V.S.",W,DMK,M,55,GEN,90168,294352,191680,191680,0.6511931293145622,N
64,2006,PURASAWALKAM,. VENKATESHBABU,N,AIADMK,M,46,GEN,82783,294352,191680,191680,0.6511931293145622,N
65,2006,PURASAWALKAM,. JACQUELENE GOMEZ,N,DMDK,F,29,GEN,12691,294352,191680,191680,0.6511931293145622,N
65,2006,PURASAWALKAM,. JACQUELENE GOMEZ,N,DMDK,F,29,GEN,12691,294352,191680,191680,0.6511931293145622,N
66,2006,PURASAWALKAM,". ELUMALAI, V.",N,BJP,M,43,GEN,2019,294352,191680,191680,0.6511931293145622,N
67,2006,PURASAWALKAM,". KAMALAAKANNAN, J.",N,SP,M,57,GEN,769,294352,191680,191680,0.6511931293145622,N
68,2006,PURASAWALKAM,". RAJA, K.",N,IND,M,32,GEN,603,294352,191680,191680,0.6511931293145622,N
68,2006,PURASAWALKAM,". RAJA, K.",N,IND,M,32,GEN,603,294352,191680,191680,0.6511931293145622,N
69,2006,PURASAWALKAM,". PRATHABAN, S.",N,IND,M,41,SC,552,294352,191680,191680,0.6511931293145622,N
